Forma ;Lemma;Analisi ;olivetti_url;;;
εἶπομεν;λέγω;aoristo attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπατε;λέγω;aoristo attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπον;λέγω;aoristo attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἦλθον;ἔρχομαι;aoristo attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἦλθες;ἔρχομαι;aoristo attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἦλθε(ν);ἔρχομαι;aoristo attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἦλθομεν;ἔρχομαι;aoristo attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἦλθετε;ἔρχομαι;aoristo attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἦλθον;ἔρχομαι;aoristo attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%94%CF%81%CF%87%CE%BF%CE%BC%CE%B1%CE%B9;;;
ἔφαγον;ἐσθίω;aoristo attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἔφαγες;ἐσθίω;aoristo attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἔφαγε;ἐσθίω;aoristo attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἔφαγομεν;ἐσθίω;aoristo attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἔφαγετε;ἐσθίω;aoristo attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἔφαγον;ἐσθίω;aoristo attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
